loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit
25000,25000,25000, 36 months,11.99%,830.24,C,C1,Athlete,7 years,RENT,100000,Source Verified,16-Mar,Fully Paid,n,,,debt_consolidation,Debt consolidation,551xx,PA,12.01,0,07-Sep,1,,,3,0,25832,73.80%,11,w,0,0,25681.07,25681.07,25000,681.07,0,0,0,16-Jul,21053.9,,17-Nov,0,,1,Individual,,,,0,0,47333,0,1,0,2,21,21501,73,1,1,21047,73,35000,1,0,1,3,15778,4953,80.9,0,0,102,95,12,12,1,28,,1,,0,1,2,1,3,6,2,4,2,3,0,0,0,1,100,100,0,0,64575,47333,26000,29575
6000,6000,6000, 36 months,7.39%,186.34,A,A4,Telecom ngineer,3 years,MORTGAGE,72000,Source Verified,16-Mar,Fully Paid,n,,,debt_consolidation,Debt consolidation,330xx,FL,10.68,0,08-Oct,0,,,12,0,5426,23.60%,18,w,0,0,6369.416519,6369.42,6000,369.42,0,0,0,17-Mar,4510.95,,17-Mar,0,,1,Individual,,,,0,157,24618,0,5,1,1,7,19192,87,0,3,3147,55,23000,0,3,2,4,2052,4158,55.8,0,0,89,84,14,7,0,14,,9,,0,2,4,2,4,8,7,10,4,12,0,0,0,1,100,0,0,0,45139,24618,9400,22139
9000,9000,9000, 36 months,10.75%,293.59,B,B4,Construction ,1 year,RENT,65000,Source Verified,16-Mar,Charged Off,n,,,debt_consolidation,,775xx,TX,21.36,0,Jul-86,0,,,7,0,7789,36.90%,7,w,0,0,4365.68,4365.68,2685.33,827,0,853.35,153.603,17-Apr,293.59,,17-Sep,0,,1,Individual,,,,0,0,72895,1,2,2,2,6,65106,92,1,4,5000,67,21100,1,1,3,6,10414,5001,57.6,0,0,10,356,10,6,0,15,,6,,0,2,3,2,2,2,5,5,3,7,0,0,0,3,100,50,0,0,90953,72895,11800,69853
8200,8200,8200, 36 months,5.32%,246.95,A,A1,manager,10+ years,MORTGAGE,38000,Source Verified,16-Mar,Fully Paid,n,,,debt_consolidation,Debt consolidation,851xx,AZ,15.16,0,Feb-99,0,57,,10,0,8115,16.10%,23,w,0,0,8367.54,8367.54,8200,167.54,0,0,0,16-Sep,7384.59,,17-Dec,0,57,1,Individual,,,,0,0,13440,0,1,0,0,48,5325,35,0,0,6343,20,50500,0,0,0,0,1344,37157,14.8,0,0,125,205,44,44,4,44,,,,1,3,4,7,12,2,9,17,4,10,0,0,0,0,95.7,0,0,0,65740,13440,43600,15240
21000,21000,21000, 36 months,7.89%,657,A,A5,Office Manager,10+ years,MORTGAGE,125000,Source Verified,16-Mar,Current,n,,,debt_consolidation,Debt consolidation,760xx,TX,10.55,1,Mar-82,1,15,,16,0,14324,26.50%,25,w,9946.93,9946.93,13121.59,13121.59,11053.07,2068.52,0,0,0,17-Dec,657,18-Jan,17-Dec,0,,1,Individual,,,,0,0,51168,1,3,0,1,23,36844,89,2,3,5816,54,54100,0,0,1,4,3655,29797,29.9,0,0,43,360,6,6,0,6,,6,15,0,5,7,7,12,4,12,20,7,16,0,0,0,2,92,42.9,0,0,95700,51168,42500,41600
25200,25200,25200, 36 months,7.39%,782.61,A,A4,Rural Letter Carrier,10+ years,OWN,53000,Source Verified,16-Mar,Current,n,,,debt_consolidation,Debt consolidation,656xx,MO,28.06,0,02-May,0,56,,7,0,9068,49%,12,w,11889.62,11889.62,15631.51,15631.51,13310.38,2321.13,0,0,0,17-Dec,782.61,18-Jan,17-Dec,0,,1,Individual,,,,0,0,38603,1,2,1,1,6,29535,66,1,2,5869,61,18500,0,0,0,3,6434,4526,65.2,0,0,166,154,11,6,0,11,,,56,0,2,3,2,4,5,5,7,3,7,0,0,0,2,91.7,50,0,0,63217,38603,13000,44717
9600,9600,9600, 36 months,9.75%,308.64,B,B3,unit leader,10+ years,MORTGAGE,120000,Not Verified,16-Mar,Current,n,,,home_improvement,Home improvement,835xx,ID,13.11,1,Sep-99,1,15,,16,0,5375,18.20%,35,w,4621.33,4621.33,6199.51,6199.51,4978.67,1220.84,0,0,0,17-Dec,308.64,18-Jan,17-Dec,0,59,1,Individual,,,,0,453,165800,2,3,2,3,7,26846,62,1,2,2437,44,29500,2,14,4,6,10363,14649,25.3,0,0,138,198,0,0,4,41,,0,,1,3,4,6,6,17,11,14,4,16,0,0,0,4,91.2,33.3,0,0,207042,32221,19600,43252
6000,6000,6000, 36 months,7.39%,186.34,A,A4,vine worker,1 year,RENT,32000,Source Verified,16-Mar,Fully Paid,n,,,home_improvement,Home improvement,945xx,CA,26.86,0,06-May,0,80,,6,0,5046,58%,16,w,0,0,6285.191067,6285.19,6000,285.19,0,0,0,16-Dec,4985.74,,17-Sep,0,,1,Individual,,,,0,0,13936,1,2,0,1,21,8890,42,1,1,2463,47,8700,2,0,0,2,2323,1924,71.3,0,0,118,113,5,5,0,5,80,22,80,0,2,3,2,7,4,4,12,3,6,0,0,0,1,93.7,50,0,0,29901,13936,6700,21201
6000,6000,6000, 36 months,12.99%,202.14,C,C2,Salesman,9 years,MORTGAGE,43000,Not Verified,16-Mar,Current,n,,,debt_consolidation,Debt consolidation,211xx,MD,14.4,0,06-May,1,,,16,0,15055,63%,21,f,2954.83,2954.83,4034.14,4034.14,3045.17,988.97,0,0,0,17-Dec,202.14,18-Jan,17-Dec,0,,1,Individual,,,,0,0,15055,1,0,0,0,49,0,,1,3,2008,63,23900,0,0,3,3,1004,2168,75.6,0,0,114,118,2,2,0,2,,2,,0,7,11,8,9,3,16,18,11,16,0,0,0,1,100,37.5,0,0,23900,15055,8900,0
8000,8000,8000, 36 months,5.32%,240.92,A,A1,Realtor,10+ years,RENT,80000,Not Verified,16-Mar,Fully Paid,n,,,vacation,Vacation,370xx,TN,20,0,Apr-89,0,,,14,0,11101,25.80%,27,w,0,0,8359.857054,8359.86,8000,359.86,0,0,0,17-Mar,5955.39,,17-Mar,0,,1,Individual,,,,0,0,35291,2,2,1,2,12,24190,70,2,3,3118,45,43000,1,0,1,5,2521,22696,31.4,0,0,128,323,5,5,0,5,,12,,0,7,10,7,10,7,12,20,10,14,0,0,0,3,100,28.6,0,0,77825,35291,33100,34825
15000,15000,15000, 36 months,11.47%,494.43,B,B5,Sales Manager,3 years,MORTGAGE,77100,Not Verified,16-Mar,Current,n,,,home_improvement,Home improvement,740xx,OK,35.16,0,Sep-94,0,69,,16,0,15986,25.10%,28,w,7303.26,7303.26,9869.48,9869.48,7696.74,2172.74,0,0,0,17-Dec,494.43,18-Jan,17-Dec,0,,1,Individual,,,,0,0,288485,0,4,3,5,7,71135,87,0,2,9883,60,63700,0,1,0,7,18030,45136,21.1,0,0,258,101,22,7,5,22,,13,,0,4,6,6,9,10,8,12,6,16,0,0,0,3,92.9,0,0,0,372394,87516,57200,81445
18000,18000,18000, 36 months,12.99%,606.41,C,C2,Lock and Dam Operator,< 1 year,RENT,90000,Source Verified,16-Mar,Current,n,,,debt_consolidation,Debt consolidation,721xx,AR,5.92,0,08-Feb,1,,,10,0,13895,53.90%,17,w,6311.77,6311.77,14208.49,14208.49,11688.23,2520.26,0,0,0,17-Dec,606.41,18-Jan,17-Dec,0,,1,Individual,,,,0,0,19315,2,1,0,0,27,5420,64,5,6,4765,56,25800,0,0,2,6,1932,4302,66.9,0,0,97,54,4,4,0,4,,5,,0,4,6,6,7,6,9,11,6,10,0,0,0,5,100,50,0,0,34300,19315,13000,8500
4000,4000,4000, 36 months,13.67%,136.08,C,C3,CNA,2 years,MORTGAGE,24000,Source Verified,16-Mar,Current,n,,,debt_consolidation,Debt consolidation,359xx,AL,28.1,0,Sep-96,1,,81,6,1,3078,58.10%,29,w,1979.76,1979.76,2715.52,2715.52,2020.24,695.28,0,0,0,17-Dec,136.08,18-Jan,17-Dec,0,,1,Individual,,,,0,0,23915,2,2,2,3,5,20837,93,1,3,2489,86,5300,2,1,3,6,3986,11,99.6,0,0,135,234,1,1,3,76,,1,,0,1,2,1,5,11,4,15,2,6,0,0,0,3,100,100,1,0,27673,23915,2500,22373
5800,5800,5800, 36 months,12.99%,195.4,C,C2,eligibility ,6 years,RENT,34000,Source Verified,16-Mar,Fully Paid,n,,,debt_consolidation,Debt consolidation,554xx,MN,31.1,1,06-May,0,10,,9,0,3601,35.70%,16,w,0,0,6734.226708,6734.23,5800,934.23,0,0,0,17-Nov,3225.4,,17-Dec,0,,1,Individual,,,,0,0,19417,0,3,0,1,20,15816,53,0,1,3601,49,10100,0,2,1,2,3236,2899,55.4,0,0,71,118,15,15,0,83,10,11,10,0,1,1,4,6,6,6,10,1,9,0,0,0,0,87.5,0,0,0,39856,19417,6500,29756
7000,7000,7000, 36 months,10.75%,228.35,B,B4,Operations Analyst,7 years,RENT,46176,Verified,16-Mar,Current,n,,,debt_consolidation,Debt consolidation,547xx,WI,21.21,0,11-Mar,0,28,,12,0,3155,78.90%,14,w,3389.49,3389.49,4589.25,4589.25,3610.51,978.74,0,0,0,17-Dec,228.35,18-Jan,17-Dec,0,,1,Individual,,,,0,163,44103,0,9,3,6,7,40948,78,0,0,2445,78,4000,1,2,11,6,3675,845,78.9,0,0,54,59,47,7,0,47,37,1,37,0,2,2,2,2,10,2,2,2,12,0,0,0,3,78.6,50,0,0,56715,44103,4000,52715
24000,24000,24000, 36 months,9.16%,764.99,B,B2,General Manager,9 years,MORTGAGE,75000,Not Verified,16-Mar,Current,n,,,credit_card,Credit card refinancing,926xx,CA,38.7,0,Apr-90,0,,,13,0,43781,66.30%,15,w,11480.48,11480.48,15275.37,15275.37,12519.52,2755.85,0,0,0,17-Dec,764.99,18-Jan,17-Dec,0,,1,Individual,,,,0,0,445659,0,4,0,0,46,52811,68,0,2,14504,67,66000,0,0,0,2,37138,17191,71.3,0,0,80,311,21,21,1,21,,,,0,6,7,6,6,6,8,8,7,13,0,0,0,0,92.9,50,0,0,521019,96592,60000,78244
34000,34000,34000, 60 months,15.31%,814.41,C,C5,general manager,10+ years,MORTGAGE,150000,Source Verified,16-Mar,Current,n,,,debt_consolidation,Debt consolidation,140xx,NY,13.81,2,Nov-96,4,21,,15,0,17861,37%,34,w,25390.17,25390.17,16230.36,16230.36,8609.83,7620.53,0,0,0,17-Dec,814.41,18-Jan,17-Dec,0,54,1,Individual,,,,0,0,342478,5,2,2,2,3,20422,90,4,5,5844,37,48500,1,1,3,8,24462,6780,43,0,0,132,232,5,3,5,5,23,5,21,0,6,10,9,11,8,10,20,9,14,,0,0,7,88,0,0,0,394445,38813,33900,22713
29400,29400,29400, 60 months,9.16%,612.59,B,B2,,n/a,MORTGAGE,62000,Not Verified,16-Mar,Fully Paid,n,,,debt_consolidation,Debt consolidation,350xx,AL,37.61,0,Jan-94,0,,,18,0,8589,12.90%,41,w,0,0,33365.25768,33365.26,29400,3965.26,0,0,0,17-Dec,21755.97,,17-Dec,0,,1,Individual,,,,0,0,175397,1,4,0,1,22,42551,50,1,3,3423,34,66800,1,6,0,4,9744,46511,15.6,0,0,151,266,5,5,4,5,,19,,0,6,6,9,10,17,13,20,6,18,0,0,0,1,100,0,0,0,286576,51140,55100,84995
16000,16000,16000, 36 months,5.32%,481.84,A,A1,Animal Care Inspector,10+ years,OWN,65000,Source Verified,16-Mar,Current,n,,,credit_card,Credit card refinancing,745xx,OK,11.23,0,Mar-88,1,,,14,0,13082,48.80%,33,w,3416.91,3416.91,13627.34,13627.34,12583.09,1044.25,0,0,0,17-Dec,481.84,18-Jan,17-Dec,0,,1,Individual,,,,0,739,15039,0,1,0,1,22,1957,52,1,6,1756,49,26800,1,5,2,7,1157,1906,65.3,0,0,97,336,7,7,0,7,,4,,0,3,9,3,5,14,13,19,9,14,0,0,0,1,100,66.7,0,0,30571,15039,5500,3771
8000,8000,8000, 36 months,11.99%,265.68,C,C1,Boat Captain,< 1 year,RENT,80000,Source Verified,16-Mar,Late (16-30 days),n,,,debt_consolidation,Debt consolidation,325xx,FL,13.68,0,09-May,0,,34,5,1,2752,45.90%,11,w,4144.52,4144.52,5121.29,5121.29,3855.48,1220.81,45,0,0,17-Dec,280.68,18-Jan,17-Dec,0,,1,Individual,,,,0,128,14494,0,3,2,2,7,11742,47,0,1,0,46,6000,0,9,2,3,2899,,,0,0,82,52,16,7,0,,,9,,0,0,2,0,0,8,2,3,2,5,0,0,0,2,100,,0,1,31232,14494,0,25232
10000,10000,10000, 36 months,11.99%,332.1,C,C1,Potential Specialist,< 1 year,RENT,39700,Source Verified,16-Mar,Current,n,,,debt_consolidation,Debt consolidation,344xx,FL,16.14,1,May-95,0,17,,6,0,6748,86.50%,23,w,4887.97,4887.97,6628.68,6628.68,5112.03,1516.65,0,0,0,17-Dec,332.1,18-Jan,17-Dec,0,28,1,Individual,,,,0,0,24701,0,2,0,1,15,17953,119,0,0,3694,108,7800,0,4,0,1,6175,1052,86.5,0,0,250,128,26,15,4,75,,,17,2,2,2,2,3,8,4,11,2,6,0,0,0,0,82.6,100,0,0,22910,24701,7800,15110
7200,7200,7200, 36 months,8.39%,226.92,B,B1,Director of Slots,10+ years,RENT,197000,Not Verified,16-Mar,Fully Paid,n,,,car,Car financing,493xx,MI,8.08,0,May-00,1,,71,9,1,762,5.40%,28,w,0,0,7954.533952,7954.53,7200,754.53,0,0,0,17-Nov,3876.68,,17-Dec,0,,1,Individual,,,,0,0,55556,1,3,3,5,1,54794,62,0,0,505,32,14200,4,2,3,5,7937,9438,7.5,0,0,132,190,31,1,1,36,,1,,0,2,2,3,9,13,5,13,2,7,0,0,0,3,100,0,1,0,73780,55556,10200,59580
13000,13000,13000, 36 months,7.39%,403.73,A,A4,Practice Manager,6 years,OWN,54000,Not Verified,16-Mar,Current,n,,,credit_card,Credit card refinancing,280xx,NC,21.07,0,03-Oct,0,,,16,0,14968,69.90%,30,w,6133.48,6133.48,8063.93,8063.93,6866.52,1197.41,0,0,0,17-Dec,403.73,18-Jan,17-Dec,0,,1,Individual,,,,0,0,92192,1,10,0,0,44,77224,98,1,1,4673,92,21400,6,2,4,3,5762,6432,69.9,0,0,149,133,1,1,3,1,,3,,0,6,6,6,6,19,6,8,6,16,0,0,0,1,100,66.7,0,0,99887,92192,21400,78487
7500,7500,7500, 36 months,14.46%,258.02,C,C4,teacher,8 years,MORTGAGE,30388.8,Source Verified,16-Mar,Fully Paid,n,,,debt_consolidation,Debt consolidation,660xx,KS,24.96,0,Sep-95,2,,81,11,1,5546,80.40%,17,w,0,0,8668.809884,8668.81,7500,1168.81,0,0,0,17-Jul,5068.58,,17-Nov,0,,1,Individual,,,,0,0,160350,1,3,1,2,5,23480,94,0,2,1435,91,6900,1,1,3,5,14577,186,92.6,0,0,45,246,15,5,2,19,,3,,0,3,7,3,5,3,7,12,7,11,0,0,0,1,100,100,1,0,166315,29026,2500,25125
5000,5000,5000, 36 months,12.99%,168.45,C,C2,Customer Service/Phone Operator,10+ years,RENT,23000,Source Verified,16-Mar,Current,n,,,debt_consolidation,Debt consolidation,280xx,NC,31.52,0,Nov-88,1,,,6,0,3560,58.40%,7,w,2462.56,2462.56,3381.27,3381.27,2537.44,843.83,0,0,0,17-Dec,168.45,18-Jan,17-Dec,0,,1,Individual,,,,0,0,28899,0,2,1,1,12,25339,91,1,2,2360,85,6100,2,2,4,3,4817,140,94.4,0,0,328,49,12,12,0,13,,4,,0,1,3,1,1,3,4,4,3,6,0,0,0,2,100,100,0,0,34066,28899,2500,27966
35000,35000,35000, 60 months,21.18%,950.42,E,E3,finance manager,10+ years,MORTGAGE,195000,Verified,16-Mar,Current,n,,,debt_consolidation,Debt consolidation,871xx,NM,15.56,0,04-Aug,0,28,,9,0,32223,93.40%,28,w,27103.47,27103.47,19234.9,19234.9,7896.53,11338.37,0,0,0,17-Dec,950.42,18-Jan,17-Dec,0,,1,Individual,,,,0,0,644712,0,3,3,10,7,133861,96,1,2,9122,94,34500,2,21,5,12,71635,878,91.2,0,0,122,95,7,7,4,15,,8,,1,1,4,1,2,17,4,7,4,9,0,0,0,4,88.5,100,0,0,671522,166084,10000,138709
6000,6000,6000, 36 months,13.67%,204.11,C,C3,Salesman ,10+ years,RENT,69000,Not Verified,16-Mar,Current,n,,,debt_consolidation,Debt consolidation,330xx,FL,11.54,0,Sep-95,1,42,64,9,2,5424,36.90%,12,w,3466.63,3466.63,3584.93,3584.93,2533.37,1051.56,0,0,0,17-Dec,41.39,18-Jan,17-Dec,0,,1,Individual,,,,0,0,23263,2,1,1,1,12,17719,79,2,5,2027,62,14700,1,0,1,7,2585,4693,39.8,0,0,119,246,2,2,0,2,,6,,0,2,5,3,3,3,7,8,5,9,0,0,0,4,91.7,0,0,2,37766,23263,7800,22534
10000,10000,10000, 36 months,14.46%,344.02,C,C4,,n/a,RENT,49000,Verified,16-Mar,Charged Off,n,,,debt_consolidation,Debt consolidation,142xx,NY,33.73,0,01-May,0,,58,7,1,10014,80.80%,15,w,0,0,680,680,449.73,230.27,0,0,0,16-Jun,344.02,,16-Jun,0,,1,Individual,,,,0,0,53011,1,3,3,3,5,42997,83,1,2,5019,82,12400,0,0,3,5,7573,81,98.4,0,0,134,178,8,5,0,178,,5,,0,1,4,1,1,9,4,6,4,7,0,0,0,4,100,100,0,0,64387,53011,5100,51987
20625,20625,20625, 36 months,10.75%,672.8,B,B4,Director,10+ years,MORTGAGE,52000,Source Verified,16-Mar,Current,n,,,debt_consolidation,Debt consolidation,163xx,PA,24.16,0,May-90,0,44,,10,0,10742,63.60%,30,w,9987.57,9987.57,13508.03,13508.03,10637.43,2870.6,0,0,0,17-Dec,672.8,18-Jan,17-Dec,0,44,1,Individual,,,,0,5264,191741,2,2,0,0,43,28440,65,1,1,3301,65,16900,0,0,1,2,19174,2907,65,0,0,262,310,5,4,1,5,44,6,44,2,3,7,3,9,12,7,17,7,10,0,0,0,2,90,33.3,0,0,213638,39182,8300,43513
